code,name,students,math,science
AAD,"",12109,453.7840,443.4712
ADU,"",8164,545.8606,547.1254
ARE,"",32740,488.5136,486.2931
ASH,"",6385,495.5467,498.6056
AUS,"",8442,508.7158,520.1512
AUT,"",4639,512.1354,511.7406
AZE,"",6174,478.6590,411.3594
BHR,"",5168,426.4500,451.8284
BRA,"",22770,378.0295,419.9109
CHL,"",4478,415.9687,455.2100
CIV,"",8284,263.1093,183.0291
CYP,"",4200,493.7793,464.2534
CZE,"",8110,518.1843,527.1529
ENG,"",4239,524.7728,531.3535
FIN,"",5880,503.8013,530.6375
FRA,"",4511,478.6812,486.1952
GEO,"",4872,466.7546,447.7856
HKG,"",4463,574.7027,527.6980
HUN,"",5426,506.1218,521.6376
IRL,"",5090,521.6572,524.9589
IRN,"",6226,423.3231,419.0028
ISR,"",5198,487.2900,480.5028
ITA,"",4591,500.5642,500.6510
JOR,"",6962,388.2251,412.7362
JPN,"",3905,594.6155,556.9873
KAZ,"",6362,454.0894,442.6806
KOR,"",4257,595.9943,545.3962
KWT,"",4332,398.6539,419.6972
LTU,"",5421,513.5970,519.2904
MAR,"",8745,377.8809,326.9602
MLT,"",3994,499.3146,501.1685
MYS,"",8780,410.6851,426.3985
NOR,"",6324,500.6292,488.3825
NZL,"",3930,485.4895,501.9258
OMN,"",8226,410.8779,455.7478
PRT,"",5414,475.4719,505.5807
PSE,"",6532,381.6590,392.8622
QAT,"",4298,451.3289,481.1368
ROM,"",3722,495.6882,466.1514
SAU,"",5882,396.8161,419.1168
SGP,"",4772,605.3191,606.1538
SWE,"",5082,517.3197,521.3098
TUR,"",4925,508.5680,529.5164
TWN,"",5543,602.4299,571.8284
USA,"",8074,488.0068,513.3955
UZB,"",4339,420.9094,395.6721
ZAF,"",11940,396.5297,362.3205
