study,iso3,name,year,respondents,sat_share,sat_n,lr_mean,lr_n,power_share,power_n,vote_share,vote_n
ISL_2009,ISL,"Iceland",2009,1385,42.59,1308,5.15,1175,74.36,1356,65.13,1344
ISL_2013,ISL,"Iceland",2013,1479,66.86,1388,5.48,1266,76.36,1455,72.25,1452
ISL_2016,ISL,"Iceland",2016,1295,68.68,1210,5.18,1120,78.75,1280,71.48,1280
ISL_2017,ISL,"Iceland",2017,2073,65.27,1964,5.28,1841,80.83,2045,70.35,2034
ISR_1996,ISR,"Israel",1996,1091,53.45,1059,5.16,944,83.02,1066,88.65,1075
ISR_2003,ISR,"Israel",2003,1212,35.64,1184,5.77,1147,76.13,1190,79.93,1201
ISR_2006,ISR,"Israel",2006,1200,34.96,1190,5.70,1099,65.91,1182,71.33,1186
ISR_2013,ISR,"Israel",2013,1017,53.88,993,5.99,924,72.87,1010,73.24,1009
ISR_2020,ISR,"Israel",2020,1209,32.85,1183,5.82,1074,81.95,1201,74.47,1193
ITA_2006,ITA,"Italy",2006,1439,38.25,1242,5.07,912,58.66,1259,61.11,1280
ITA_2018,ITA,"Italy",2018,2001,25.37,1976,5.29,1707,71.87,1950,76.13,1955
JPN_1996,JPN,"Japan",1996,1327,63.49,1156,,0,43.47,1249,42.60,1256
JPN_2004,JPN,"Japan",2004,1977,71.13,1434,,0,54.84,1920,50.87,1907
JPN_2007,JPN,"Japan",2007,1373,50.08,1328,5.51,1117,48.15,1354,62.09,1356
JPN_2013,JPN,"Japan",2013,1937,73.39,1910,5.54,1563,56.35,1926,56.26,1923
JPN_2017,JPN,"Japan",2017,1688,69.73,1663,5.32,1388,52.34,1675,48.36,1677
KEN_2013,KEN,"Kenya",2013,1200,53.99,1028,6.42,506,68.62,1163,70.08,1163
KGZ_2005,KGZ,"Kyrgyzstan",2005,2000,39.37,1834,6.98,975,74.54,1850,58.94,1829
KOR_2000,KOR,"Republic of Korea",2000,1100,41.20,1000,4.89,899,58.54,1066,61.46,1069
KOR_2004,KOR,"Republic of Korea",2004,1500,23.00,1435,4.59,1241,57.76,1444,61.92,1447
KOR_2008,KOR,"Republic of Korea",2008,1000,42.69,951,5.54,786,63.73,954,66.60,958
KOR_2012,KOR,"Republic of Korea",2012,1000,44.97,965,5.40,717,66.21,950,72.99,959
KOR_2016,KOR,"Republic of Korea",2016,1199,43.70,1199,5.16,1178,64.73,1188,67.54,1186
LTU_1997,LTU,"Lithuania",1997,1009,37.75,926,5.67,673,76.33,988,64.72,986
LTU_2016,LTU,"Lithuania",2016,1500,37.75,1379,5.20,943,53.59,1432,48.76,1438
LTU_2020,LTU,"Lithuania",2020,1781,53.88,1665,5.66,1217,65.65,1727,64.39,1743
LVA_2010,LVA,"Latvia",2010,1005,18.93,968,6.13,795,60.84,1003,65.24,1004
LVA_2011,LVA,"Latvia",2011,1004,22.29,983,6.12,787,62.58,975,64.13,978
LVA_2014,LVA,"Latvia",2014,1036,35.72,1006,6.28,815,57.34,1022,56.40,1022
LVA_2018,LVA,"Latvia",2018,1011,51.83,925,5.90,757,61.64,985,61.86,984
MEX_1997,MEX,"Mexico",1997,2033,43.36,1900,6.39,1526,70.36,1954,75.30,1967
MEX_2000,MEX,"Mexico",2000,1766,61.22,1689,6.36,1264,70.30,1695,78.93,1704
MEX_2003,MEX,"Mexico",2003,1991,33.69,1904,6.43,1428,53.54,1912,60.36,1905
MEX_2006,MEX,"Mexico",2006,1591,46.58,1545,6.96,1246,68.67,1549,74.83,1544
MEX_2009,MEX,"Mexico",2009,2400,43.81,2305,7.09,2056,74.14,2357,74.48,2348
MEX_2012,MEX,"Mexico",2012,2400,27.81,2333,6.60,1812,71.43,2343,77.38,2348
MEX_2015,MEX,"Mexico",2015,1197,32.01,1153,6.28,910,65.47,1158,63.29,1149
MEX_2018,MEX,"Mexico",2018,1239,20.39,1173,5.40,1133,63.98,1187,62.04,1187
MNE_2012,MNE,"Montenegro",2012,967,46.91,897,5.90,457,70.73,870,66.72,866
MNE_2016,MNE,"Montenegro",2016,1213,39.43,1189,5.28,581,70.55,1162,65.85,1162
NLD_1998,NLD,"Netherlands",1998,2101,85.72,1796,5.48,1690,79.39,1804,64.08,1807
NLD_2002,NLD,"Netherlands",2002,1574,50.86,1560,5.21,1546,73.65,1564,,0
NLD_2006,NLD,"Netherlands",2006,2359,77.52,2325,5.27,2203,63.09,2338,69.25,2345
NLD_2010,NLD,"Netherlands",2010,2153,76.55,2132,5.09,2035,68.79,2142,67.85,2146
NLD_2017,NLD,"Netherlands",2017,1903,85.68,1872,5.13,1825,73.87,1804,71.56,1817
NLD_2021,NLD,"Netherlands",2021,3485,75.62,3284,5.07,3135,73.15,3315,70.30,3307
NOR_1997,NOR,"Norway",1997,2055,90.25,2042,5.18,2010,77.63,2052,76.63,2050
NOR_2001,NOR,"Norway",2001,2052,78.24,2017,5.51,1949,51.73,2028,65.94,2026
NOR_2005,NOR,"Norway",2005,2012,88.42,1995,5.21,1929,62.69,2005,75.65,2004
NOR_2009,NOR,"Norway",2009,1782,88.35,1759,5.49,1722,65.61,1768,75.33,1767
NOR_2013,NOR,"Norway",2013,1727,91.93,1701,5.65,1663,59.74,1708,71.65,1707
NOR_2017,NOR,"Norway",2017,1792,86.55,1790,5.52,1785,71.00,1789,67.24,1789
NZL_1996,NZL,"New Zealand",1996,4080,68.52,4002,5.57,3267,74.94,4055,74.43,4051
NZL_2002,NZL,"New Zealand",2002,1741,69.00,1572,5.27,1326,57.77,1652,66.60,1678
NZL_2008,NZL,"New Zealand",2008,1149,70.06,1087,5.64,872,71.34,1094,77.61,1092
NZL_2011,NZL,"New Zealand",2011,1374,72.94,1290,5.55,1063,75.01,1329,79.65,1336
NZL_2014,NZL,"New Zealand",2014,1224,71.10,1139,5.78,974,75.93,1178,80.44,1194
NZL_2017,NZL,"New Zealand",2017,1808,70.66,1665,5.23,1454,74.57,1742,82.76,1762
NZL_2020,NZL,"New Zealand",2020,1725,84.10,1627,5.19,1333,72.78,1662,82.76,1683
PER_2000,PER,"Peru",2000,1102,,0,6.03,886,76.34,1082,81.75,1074
PER_2001,PER,"Peru",2001,1118,35.27,1103,5.52,1018,67.95,1095,79.67,1102
PER_2006,PER,"Peru",2006,2032,33.67,1926,5.12,1679,51.17,1936,63.93,1924
PER_2011,PER,"Peru",2011,1570,38.79,1508,5.83,1143,45.36,1478,77.79,1468
PER_2016,PER,"Peru",2016,1572,14.90,1557,6.54,1438,44.83,1559,70.89,1548
PER_2021,PER,"Peru",2021,1199,17.72,1190,6.21,1112,47.36,1162,58.40,1172
PHL_2004,PHL,"Philippines",2004,1200,53.24,1175,5.99,1130,39.97,1175,50.51,1177
PHL_2010,PHL,"Philippines",2010,1200,68.86,1185,7.19,848,50.39,1151,58.82,1156
PHL_2016,PHL,"Philippines",2016,1200,79.00,1195,7.21,1179,53.57,1189,64.42,1189
POL_1997,POL,"Poland",1997,2003,63.11,1720,5.60,1792,77.48,1879,62.64,1850
POL_2001,POL,"Poland",2001,1794,38.98,1593,4.66,1384,61.33,1689,48.53,1687
POL_2005,POL,"Poland",2005,2402,35.79,2173,6.07,1888,66.97,2303,,0
POL_2007,POL,"Poland",2007,1817,59.41,1657,6.20,1603,65.22,1781,59.13,1768
POL_2011,POL,"Poland",2011,1919,55.22,1810,6.00,1634,69.48,1865,56.79,1847
POL_2019,POL,"Poland",2019,2003,66.08,1912,5.78,1777,74.35,1978,62.26,1986
PRT_2002,PRT,"Portugal",2002,1303,52.97,1229,5.34,1112,59.22,1226,58.73,1226
PRT_2005,PRT,"Portugal",2005,2801,44.62,2700,5.15,2350,58.53,2664,72.43,2647
PRT_2009,PRT,"Portugal",2009,1316,41.93,1289,5.12,1042,56.92,1273,73.57,1269
PRT_2015,PRT,"Portugal",2015,1499,39.69,1468,5.09,1224,64.98,1446,68.77,1437
PRT_2019,PRT,"Portugal",2019,1500,49.69,1476,4.68,1136,60.79,1448,63.72,1454
ROU_1996,ROU,"Romania",1996,1175,43.89,1146,6.10,744,80.87,1155,79.40,1160
ROU_2004,ROU,"Romania",2004,1913,44.39,1748,5.78,1268,76.41,1861,74.51,1871
ROU_2009,ROU,"Romania",2009,1403,20.37,1340,6.10,863,84.03,1354,83.03,1354
ROU_2012,ROU,"Romania",2012,2283,21.66,2192,5.06,1193,73.66,2188,69.88,2179
